Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
AAPL,AAPL,Sell,2009-06-01 16:00:00,0.976428798383,0.976428798383,-9.0,138.75,-1248.75,23.0,6177.17,5.0,1.26,
GOOG,GOOG,Buy,2009-06-01 16:00:00,0.976428798383,0.976428798383,3.0,426.56,1279.68,7.0,6177.17,5.0,1.26,
AAPL,AAPL,Sell,2009-07-01 16:00:00,0.954904626381,0.954904626381,-1.0,142.22,-142.22,22.0,6061.77,5.0,0.07,
AAPL,AAPL,Sell,2009-08-03 16:00:00,0.931370365796,0.931370365796,-4.0,165.72,-662.88,18.0,6600.64,5.0,0.56,
GOOG,GOOG,Buy,2009-08-03 16:00:00,0.931370365796,0.931370365796,1.0,452.21,452.21,8.0,6600.64,5.0,0.56,
AAPL,AAPL,Buy,2009-09-01 16:00:00,0.955330410836,0.955330410836,1.0,164.59,164.59,19.0,6773.29,5.0,0.08,
AAPL,AAPL,Sell,2009-10-01 16:00:00,0.932196369425,0.932196369425,-12.0,180.09,-2161.08,7.0,7107.03,5.0,2.05,
GOOG,GOOG,Buy,2009-10-01 16:00:00,0.932196369425,0.932196369425,4.0,487.2,1948.8,12.0,7107.03,5.0,2.05,
AAPL,AAPL,Buy,2009-11-02 16:00:00,0.942326175259,0.942326175259,3.0,188.5,565.5,10.0,7758.89,5.0,0.55,
GOOG,GOOG,Sell,2009-11-02 16:00:00,0.942326175259,0.942326175259,-1.0,533.99,-533.99,11.0,7758.89,5.0,0.55,
AAPL,AAPL,Sell,2009-12-01 16:00:00,0.948082175992,0.948082175992,-3.0,196.13,-588.39,7.0,8451.35,5.0,0.59,
GOOG,GOOG,Buy,2009-12-01 16:00:00,0.948082175992,0.948082175992,1.0,589.87,589.87,12.0,8451.35,5.0,0.59,
AAPL,AAPL,Buy,2010-01-04 16:00:00,0.946308631378,0.946308631378,35.0,213.1,7458.5,42.0,8950.2,5.0,7.49,
GOOG,GOOG,Sell,2010-01-04 16:00:00,0.946308631378,0.946308631378,-12.0,626.75,-7521.0,0.0,8950.2,5.0,7.49,
AAPL,AAPL,Sell,2010-02-01 16:00:00,0.925940182031,0.925940182031,-31.0,193.9,-6010.9,11.0,7996.12,5.0,5.94,
GOOG,GOOG,Buy,2010-02-01 16:00:00,0.925940182031,0.925940182031,11.0,533.02,5863.22,11.0,7996.12,5.0,5.94,
AAPL,AAPL,Buy,2010-03-01 16:00:00,0.980785486052,0.980785486052,15.0,208.1,3121.5,26.0,8606.74,5.0,2.89,
GOOG,GOOG,Sell,2010-03-01 16:00:00,0.980785486052,0.980785486052,-5.0,532.69,-2663.45,6.0,8606.74,5.0,2.89,
AAPL,AAPL,Buy,2010-04-01 16:00:00,0.973452617815,0.973452617815,2.0,234.96,469.92,28.0,9422.88,5.0,0.52,
GOOG,GOOG,Sell,2010-04-01 16:00:00,0.973452617815,0.973452617815,-1.0,568.8,-568.8,5.0,9422.88,5.0,0.52,
AAPL,AAPL,Sell,2010-06-01 16:00:00,0.960763519355,0.960763519355,-21.0,259.71,-5453.91,7.0,9535.89,5.0,5.38,
GOOG,GOOG,Buy,2010-06-01 16:00:00,0.960763519355,0.960763519355,11.0,482.37,5306.07,16.0,9535.89,5.0,5.38,
AAPL,AAPL,Buy,2010-07-01 16:00:00,0.947068718495,0.947068718495,12.0,247.42,2969.04,19.0,8656.39,5.0,3.02,
GOOG,GOOG,Sell,2010-07-01 16:00:00,0.947068718495,0.947068718495,-7.0,439.49,-3076.43,9.0,8656.39,5.0,3.02,
